pto_no,sacco,permit_id,primary_route,all_matches,confidence,score,reasons,route_text
NTSA/RSN-01859,Drepeja Route,ADR-WZ9SD87,04SK,04SK (MEDIUM:51); 26 (MEDIUM:48); 36 (MEDIUM:48),MEDIUM,51,"3 waypoints (kangundo, saika, jogoo); Terminal 'otc'","kangundo rd, Saika Dandora Kariobangi Alsops Outering Rd Utawala Buruburu Jericho Maringo Bahati Jogoo Rd Likoni Rd Donholm(sinai) juja rd OTC, temple rd"
NTSA/RSN-02051,Eastern Bypass Safaris,NTR-00202108061008520,107D,107D (LOW:36); 33H (LOW:36); 33J (LOW:36),LOW,36,"3 waypoints (bypass, eastern, ruiru)","ruiru, eastern bypass utawala kangundo rd githunguri ruai mihango outering rd jogoo rd, cabanas"
NTSA/RSN-0095,Eastern Bypass,NTR-00741,38/39,38/39 (MEDIUM:63); 10 (MEDIUM:51); 16/62 (MEDIUM:51),MEDIUM,63,"6 waypoints (ruai, jogoo, makongeni); Terminal 'bus station'","Bus Station, Jogoo rd Muthurwa Gikomba Kariokor Juja Rd OuteringRd Allsops Kariobangi dandora Moslem machakos mlolongo mombasa rd Cabanas EasternBypass Utawala Ruiru Roundabout kangundo rd ruai joska malaa tala Thika Makongeni kiskioni donyosabuk kilimambogo, Nyeri"
NTSA/RSN-0095,Eastern Bypass,NTR-0019,38/39,38/39 (MEDIUM:48); 10 (LOW:39); 33DP (LOW:39),MEDIUM,48,"5 waypoints (ruai, jogoo, muthurwa)","muthurwa, jogoo road,kangundo road,ruai, joska"
NTSA/RSN-0095,Eastern Bypass,NTR-00202008120908210,107D,107D (LOW:36),LOW,36,"3 waypoints (bypass, eastern, ruiru)","Cabanas, Eastern Bypass Ruai Ruiru, Nyeri"
NTSA/RSN-0095,Eastern Bypass,NTR-00202202240934310,11,11 (LOW:36); 11_2 (LOW:36),LOW,36,"3 waypoints (mombasa, nairobi, machakos)","Nyeri, Karatina Sagana Thika Nairobi Machakos Wote Kibwezi Voi, Mombasa"
NTSA/RSN-0095,Eastern Bypass,NTR-00437,38/39,38/39 (MEDIUM:63),MEDIUM,63,"4 waypoints (kangundo, ruai, joska); Terminal 'bus station'","bus station, jogoo road,kangundo road,ruai,joska, malaa"
NTSA/RSN-0095,Eastern Bypass,NTR-00723,38/39,38/39 (MEDIUM:63),MEDIUM,63,"4 waypoints (kangundo, ruai, joska); Terminal 'bus station'","bus station, jogoo rd,kangundo rd,ruai,joska, malaa"
NTSA/RSN-0095,Eastern Bypass,ADR-BQ9S55J,,,UNMATCHED,0,Insufficient keyword overlap,"mlolongo, cabanas tajmall alsops ruiru, makongeni(thika)"
NTSA/RSN-0095,Eastern Bypass,ADR-REOSRR7,,,UNMATCHED,0,Insufficient keyword overlap,"Bus Station, Jogoo rdMuthurwaGikombaKariokorJuja RdOuteringRdAllsopsKariobangi dandoraMoslemmlolongomombasa rdCabanasEasternBypassUtawalaRuiruRoundaboutkangundordruaijoskamalaatalaThikaMakongenikiskionidonyosabukukilimambogo, Nyeri"
NTSA/RSN-0095,Eastern Bypass,ADR-MDMSQQ3,,,UNMATCHED,0,Insufficient keyword overlap,"Bus Station, Jogoo rdMuthurwaGikombaKariokorJuja RdOuteringRdAllsopsKariobangi dandoraMoslemmlolongomombasa rdCabanasEasternBypassUtawalaRuiruRoundaboutkangundordruaijoskamalaatalaThikaMakongenikiskionidonyosabukukilimambogo, Nyeri"
NTSA/RSN-0095,Eastern Bypass,ADR-YM3S66R,14,14 (LOW:36); 3738 (LOW:36); 16/62 (LOW:36),LOW,36,"3 waypoints (kariobangi, juja, kariokor)","malaa, joska, ruai, saika, mowlem, kariobangi round about, juja road, kariokor, hakati"
NTSA/RSN-0095,Eastern Bypass,ADR-8LMSEEM,38/39,38/39 (MEDIUM:63); 10 (MEDIUM:51); 33DP (MEDIUM:51),MEDIUM,63,"6 waypoints (ruai, jogoo, makongeni); Terminal 'bus station'","busstation, Jogoo rd,Muthurwa,Gikomba,Kariokor,Juja Rd,Outering Rd,Allsops,Kariobangi,Moslem,mlolongo,Cabanas,Eastern Bypass,Utawala,Ruiru,Roundabout,kangundo rd,ruai,joska,malaa,tala,Thika,Makongeni,kiskioni,donyosabuku,kilimambogo, Nyeri"
NTSA/RSN-0095,Eastern Bypass,ADR-ZZJSQQV,38/39,38/39 (MEDIUM:63),MEDIUM,63,"4 waypoints (kangundo, ruai, joska); Terminal 'bus station'","bus station, jogoo road, kangundo road, ruai, joska"
NTSA/RSN-0095,Eastern Bypass,ADR-LZRSWWO,38/39,38/39 (MEDIUM:48); 10 (LOW:39); 33DP (LOW:39),MEDIUM,48,"5 waypoints (ruai, jogoo, muthurwa)","muthurwa, joska,jogoo road,kangundo road, ruai"
NTSA/RSN-0095,Eastern Bypass,ADR-O68I22M,38/39,38/39 (MEDIUM:63),MEDIUM,63,"4 waypoints (kangundo, ruai, joska); Terminal 'bus station'","bus station, malaa,jogoo road,kangundo road,ruai, joska"
NTSA/RSN-0095,Eastern Bypass,ADR-6DBS88D,107D,107D (LOW:36); 33H (LOW:36),LOW,36,"3 waypoints (bypass, eastern, ruiru)","ruiru, eastern bypass, kangundo road, utawala, cabanas, mlolongo"
NTSA/RSN-0095,Eastern Bypass,ADR-WZ9SLL9,28,28 (LOW:39); 41 (LOW:39); 38/39 (LOW:36),LOW,39,"2 waypoints (gikomba, kariobangi); Terminal 'gikomba'","joska, gikomba,kamulu,ruai,dandora, kariobangi"
NTSA/RSN-0095,Eastern Bypass,ADR-537HYYY,38/39,38/39 (MEDIUM:63); 10 (LOW:39); 33DP (LOW:39),MEDIUM,63,"4 waypoints (joska, muthurwa, ruai); Terminal 'bus station'","malaa, joska, ruai, jogoo road, muthurwa, bus station"
NTSA/RSN-0095,Eastern Bypass,ADR-A5AC22V,38/39,38/39 (MEDIUM:63),MEDIUM,63,"4 waypoints (kangundo, joska, ruai); Terminal 'bus station'","bus station, joska,jogoo road, kangundo road, ruai"
NTSA/RSN-0095,Eastern Bypass,,,,UNMATCHED,0,Insufficient keyword overlap,"Mombasa - Voi,Kibwezi,Narobi - Busia and back- Mombasa - Voi,Kibwezi,Narobi - Busia and back - Mombasa - Voi,Kibwezi,Narobi - Busia and back"
NTSA/RSN-0096,Eastern Bypass Traverlers Investment CO,NTR-00201911140919120,,,UNMATCHED,0,Insufficient keyword overlap,"Nairobi, RuaiThikaKamwangiFlyover, Nakuru"
NTSA/RSN-0096,Eastern Bypass Traverlers Investment CO,NTR-00201908131524330,38/39,38/39 (MEDIUM:51); 11 (LOW:39); 28 (LOW:39),MEDIUM,51,"3 waypoints (kangundo, makongeni, jogoo); Terminal 'bus station'","Bus Station, Gikomba Juja Rd Jogoo Rd Outering Rd Mombasa rd Kariobangi Komarock Kangundo Rd Eastern Bypass Ruiru Thika Makongeni Kangundo, Machakos"
NTSA/RSN-0096,Eastern Bypass Traverlers Investment CO,NTR-0023,,,UNMATCHED,0,Insufficient keyword overlap,"ruiru, mlolongo, machakos"
NTSA/RSN-0096,Eastern Bypass Traverlers Investment CO,NTR-00374,,,UNMATCHED,0,Insufficient keyword overlap,"thika, ruiru, ruai, kagundo, machakos"
NTSA/RSN-0096,Eastern Bypass Traverlers Investment CO,NTR-00375,,,UNMATCHED,0,Insufficient keyword overlap,"thika, ruiru, ruai, mlologo, kitegela, kajiado, namaga"
NTSA/RSN-0096,Eastern Bypass Traverlers Investment CO,NTR-00376,,,UNMATCHED,0,Insufficient keyword overlap,"kangundo, ruai, easternbypass, mlolongo, emali, loitoktok, ellasit"
NTSA/RSN-0096,Eastern Bypass Traverlers Investment CO,NTR-0027,38/39,38/39 (LOW:36),LOW,36,"3 waypoints (kangundo, ruai, joska)","ruiru, ruai,joska, kangundo"
NTSA/RSN-0096,Eastern Bypass Traverlers Investment CO,NTR-00201908221405250,,,UNMATCHED,0,Insufficient keyword overlap,"thika, ruiru,ruai,nairobi,machakos,mlolongo,emali,loitoktok, elasit"
NTSA/RSN-0096,Eastern Bypass Traverlers Investment CO,ADR-POKSRQ8,,,UNMATCHED,0,Insufficient keyword overlap,"thika, ruiru, ruai, mlolongo, machakos, kangundo"
NTSA/RSN-0096,Eastern Bypass Traverlers Investment CO,ADR-VYAS99Y,,,UNMATCHED,0,Insufficient keyword overlap,"nairobi, ruai, ruiru, kagundo, machakos"
NTSA/RSN-0096,Eastern Bypass Traverlers Investment CO,ADR-Q5LCMMK,,,UNMATCHED,0,Insufficient keyword overlap,"nairobi, kariobangi, ruai, kangundo, machakos"
NTSA/RSN-0096,Eastern Bypass Traverlers Investment CO,ADR-EPJSRR9,38/39,38/39 (LOW:36),LOW,36,"3 waypoints (kamulu, joska, ruai)","kagundo, joska, kamulu, ruai, dandora, kariobagi, alslops"
NTSA/RSN-0096,Eastern Bypass Traverlers Investment CO,ADR-2DVSDD7,14,14 (MEDIUM:51); 46B (MEDIUM:51); 46H (MEDIUM:51),MEDIUM,51,"3 waypoints (ronald, ngala, kariokor); Terminal 'otc'","huruma, jonsaga, kariokor, ronald ngala"
NTSA/RSN-0096,Eastern Bypass Traverlers Investment CO,ADR-K9BFZZP,,,UNMATCHED,0,Insufficient keyword overlap,"machakos, mlolongo, outrering road, kariobangi, alslops, thika, kenol"
NTSA/RSN-0096,Eastern Bypass Traverlers Investment CO,ADR-7WRSOOD,14,14 (MEDIUM:51); 46B (MEDIUM:51); 46H (MEDIUM:51),MEDIUM,51,"3 waypoints (ronald, ngala, kariokor); Terminal 'otc'","huruma, joskasaga, kariokor, ronald ngala"
NTSA/RSN-0096,Eastern Bypass Traverlers Investment CO,ADR-BQ9SMMW,,,UNMATCHED,0,Insufficient keyword overlap,"nairobi, machakos,ruai, ruiru, kagundo"
NTSA/RSN-0096,Eastern Bypass Traverlers Investment CO,ADR-REOSYYJ,,,UNMATCHED,0,Insufficient keyword overlap,"thika, machakos,ruiru, ruai, kagundo"
NTSA/RSN-0096,Eastern Bypass Traverlers Investment CO,ADR-MDMSEE6,,,UNMATCHED,0,Insufficient keyword overlap,"thika, kitengela,ruiru, ruai, mlolongo"
NTSA/RSN-0096,Eastern Bypass Traverlers Investment CO,ADR-YM3SJJ8,,,UNMATCHED,0,Insufficient keyword overlap,"kangundo, ruai, easternbypass, mlolongo, emali, loitoktok, ellasri"
NTSA/RSN-0096,Eastern Bypass Traverlers Investment CO,ADR-8LMS555,,,UNMATCHED,0,Insufficient keyword overlap,"nairobi, machakos,kariobagi, ruai, kagundo"
NTSA/RSN-0096,Eastern Bypass Traverlers Investment CO,ADR-ZZJSVV9,,,UNMATCHED,0,Insufficient keyword overlap,"mlolongo, outerring road, kariobagi, alsops, thika road, kenol"
NTSA/RSN-0096,Eastern Bypass Traverlers Investment CO,ADR-LZRS667,,,UNMATCHED,0,Insufficient keyword overlap,"machakos, mlolongo, outerring road, kariobagi, thika, kenol"
NTSA/RSN-0096,Eastern Bypass Traverlers Investment CO,ADR-O68IBBL,38/39,38/39 (LOW:36),LOW,36,"3 waypoints (kangundo, ruai, joska)","ruiru, kangundo,ruai, joska"
NTSA/RSN-0096,Eastern Bypass Traverlers Investment CO,ADR-6DBSKKL,,,UNMATCHED,0,Insufficient keyword overlap,"thika, namaga,ruiru, ruai, mlologo, kitegela, kajiado"
NTSA/RSN-0096,Eastern Bypass Traverlers Investment CO,ADR-WZ9SDDL,,,UNMATCHED,0,Insufficient keyword overlap,"nairobi, ruiru,ruai,kangundo, machakos"
NTSA/RSN-0096,Eastern Bypass Traverlers Investment CO,ADR-537HQQ2,11,11 (MEDIUM:48); 11_2 (MEDIUM:48),MEDIUM,48,"4 waypoints (mombasa, nairobi, makueni)","nairobi, machakos, makueni, kitui, mutomo, kibwezi, ikutha, voi, mombasa"
NTSA/RSN-0096,Eastern Bypass Traverlers Investment CO,ADR-A5ACPPM,11,11 (LOW:36); 11_2 (LOW:36),LOW,36,"3 waypoints (mombasa, nairobi, machakos)","nairobi, machakos, wote, makindu, kitui, mutomo, kibwezi, mtito andei, ikutha, voi, mombasa"
NTSA/RSN-2808,Eastern Kubamba,NTR-00202006091049440,,,UNMATCHED,0,Insufficient keyword overlap,"Gikomba, Jogoo rdOutering rdMowlemKangundo rdEastern bypassRuiru, Thika-Makongeni"
NTSA/RSN-2808,Eastern Kubamba,NTR-00202007021019530,48B,48B (LOW:36); 48C (LOW:36),LOW,36,"3 waypoints (kangundo, mwingi, bypass)","GIKOMBA, JOGOO RDOUTERING RDMOWLEM KANGUNDO RDEASTERN BYPASS RUIRUTHIKAMAKONGENINGOLIBA Matuu Mwingi Kitui Machakos, Kangundo"
NTSA/RSN-2808,Eastern Kubamba,NTR-001395,,,UNMATCHED,0,Insufficient keyword overlap,"Muthurwa, RuaiKangundo Machakos Kitui Makindu Kibwezi, Voi"
NTSA/RSN-2808,Eastern Kubamba,NTR-00202101181006500,,,UNMATCHED,0,Insufficient keyword overlap,"Muthurwa, Mombasa rd Athi river Machakos Kitui Mutomo Ikutha, Voi"
NTSA/RSN-2808,Eastern Kubamba,NTR-00202104141559120,125,125 (MEDIUM:63); 126 (MEDIUM:63); 111 (MEDIUM:51),MEDIUM,63,"5 waypoints (railways, rongai, ongata); Terminal 'railways'","kajiado, isinya kiserian ongata rongai gataka langata rd mbagathi way knh railways bus station gekomba juja rd jogoo rd outereing rd kangundo rd eastern bypass ruai kangundo, Machakos"
NTSA/RSN-2808,Eastern Kubamba,NTR-00202104141601500,38/39,38/39 (MEDIUM:51); 237 (MEDIUM:48); 11 (LOW:39),MEDIUM,51,"3 waypoints (pass, kangundo, jogoo); Terminal 'bus station'","Bus Station, gikomba jogoo rd juja rd ouering rd mombasa rd kariobangi komarock rd kangundo rd eastern by pass ruiru thika makongenikangundo machakos kitui mwingi mutomo kibwezi, Voi"
NTSA/RSN-2808,Eastern Kubamba,ADR-3ZQSOJ3,,,UNMATCHED,0,Insufficient keyword overlap,"GIKOMBA, JOGOO RDOUTERING RDMOWLEM KANGUNDO RDEASTERN BYPASS RUIRUTHIKAMAKONGENI, NGOLIBA"
NTSA/RSN-2808,Eastern Kubamba,ADR-JY7SEZQ,125,125 (MEDIUM:48); 126 (MEDIUM:48); 15 (LOW:36),MEDIUM,48,"5 waypoints (nyayo, rongai, ongata)","Gikomba, Nyayo stadium Langata rd Ongata Rongai Kiserian, Isinya"
NTSA/RSN-2808,Eastern Kubamba,ADR-POKS7YY,125,125 (MEDIUM:63); 126 (MEDIUM:63); 111 (LOW:39),MEDIUM,63,"5 waypoints (railways, rongai, ongata); Terminal 'railways'","Machakos, Kangundo Ruai Gikomba Railways KNH Mbagathi way Langata rd Ongata Rongai Kiserian Isinya, Kajiado"
NTSA/RSN-2808,Eastern Kubamba,ADR-VYASZWL,38/39,38/39 (LOW:36),LOW,36,"3 waypoints (kangundo, muthurwa, ruai)","muthurwa, ruai,kangundo, machakos"
NTSA/RSN-2808,Eastern Kubamba,ADR-Q5LCB8L,,,UNMATCHED,0,Insufficient keyword overlap,"ruai, ruiru,allsops,kariobangi,cabanas, machakos"
NTSA/RSN-0097,Eastlands Eagles,NTR-0040,36,36 (MEDIUM:48),MEDIUM,48,"4 waypoints (city, buru, dandora)","dandora, buru buru, city stadium"
NTSA/RSN-0097,Eastlands Eagles,NTR-00288,10,10 (LOW:39); 33DP (LOW:39),LOW,39,"2 waypoints (muthurwa, jogoo); Terminal 'muthurwa'","Muthurwa, Jogoo RoadLikoni Road Industrial area, Enterprise rd"
NTSA/RSN-0097,Eastlands Eagles,NTR-00202109101404550,36,36 (MEDIUM:48); 58 (MEDIUM:48); 1960 (MEDIUM:48),MEDIUM,48,"6 waypoints (jogoo, kariobangi, dandora)","city stadium, jogoo rd likoni rd lungalunga kangundo rd eastern bypass outering rd donholm saika dandora kariobangi roundabout buruburu, bahati"
NTSA/RSN-0097,Eastlands Eagles,ADR-DB3T3R6,36,36 (MEDIUM:48); 10 (LOW:36); 58 (LOW:36),MEDIUM,48,"5 waypoints (buru, jogoo, dandora)","city stadium, jogoo road,buru buru, dandora"
NTSA/RSN-0097,Eastlands Eagles,ADR-3ZQSADR,36,36 (MEDIUM:48); 10 (LOW:36); 58 (LOW:36),MEDIUM,48,"5 waypoints (buru, jogoo, dandora)","city stadium, dandora,jogoo road, buru buru"
NTSA/RSN-0097,Eastlands Eagles,ADR-JY7S3YM,36,36 (MEDIUM:48); 58 (LOW:36); 23KS (LOW:36),MEDIUM,48,"4 waypoints (buruburu, dandora, stadium)","dandora, buruburu, city stadium"
NTSA/RSN-0098,Eastleigh Commuter,NTR-0034,,,UNMATCHED,0,Insufficient keyword overlap,"eastleigh, juja road,luthuli, commercial"
NTSA/RSN-0098,Eastleigh Commuter,NTR-00201903271302260,25A,25A (MEDIUM:48); 33C (LOW:39); 33FED (LOW:39),MEDIUM,48,"5 waypoints (summer, lucky, alsops)","Commercial, Thika rdKosovoEastleighPnganiJuja rdOutering rdfedha donholm Kangundo rd eastern bypass githunguri baba dogo lucky summer alsops, Kamulu"
NTSA/RSN-0098,Eastleigh Commuter,ADR-O68ILZA,,,UNMATCHED,0,Insufficient keyword overlap,"commercial, thika road, kosovo, juja road, eastleigh"
NTSA/RSN-0098,Eastleigh Commuter,ADR-6DBSD3O,,,UNMATCHED,0,Insufficient keyword overlap,"eastleigh, commercial,juja road, luthuli"
NTSA/RSN-0098,Eastleigh Commuter,ADR-WZ9S388,,,UNMATCHED,0,Insufficient keyword overlap,"eastleigh, mathare valley, kosovo, utalii drift, commercial"
NTSA/RSN-0099,Eastleigh Route,NTR-0034,,,UNMATCHED,0,Insufficient keyword overlap,"eastleigh, juja road,luthuli, commercial"
NTSA/RSN-0099,Eastleigh Route,ADR-Q5LC85R,,,UNMATCHED,0,Insufficient keyword overlap,"commercial, thika road, kosovo, juja road, eastleigh"
NTSA/RSN-0099,Eastleigh Route,ADR-EPJSE7M,,,UNMATCHED,0,Insufficient keyword overlap,"eastleigh, commercial,juja road, luthuli"
NTSA/RSN-0099,Eastleigh Route,ADR-2DVSRPQ,,,UNMATCHED,0,Insufficient keyword overlap,"commercial, thika rd,kosovo,eastleigh,pngani,juja rd,outering rd,kangundo rd, kamulu"
NTSA/RSN-0102,Ecosa,NTR-00360,,,UNMATCHED,0,Insufficient keyword overlap,"dandora, kariobangi, alsolps"
NTSA/RSN-0102,Ecosa,NTR-00202009231508320,14,14 (MEDIUM:63); 04SK (MEDIUM:63); 46B (MEDIUM:63),MEDIUM,63,"5 waypoints (ronald, kariobangi, kariokor); Terminal 'otc'","Ronald Ngala, Kariokor Gikomba Dandora Juja Rd Outering Rd Kangundo Rd Saika Komarock Rd Kariobangi Alsops Thika Rd, Thika"
NTSA/RSN-0102,Ecosa,NTR-00359,14,14 (MEDIUM:51); 46B (MEDIUM:51); 46H (LOW:39),MEDIUM,51,"3 waypoints (ronald, kariobangi, juja); Terminal 'otc'","ronald ngara, juja road,kariobangi, dandora"
NTSA/RSN-0102,Ecosa,NTR-00114,14,14 (MEDIUM:51); 04SK (LOW:39); 35/60 (LOW:39),MEDIUM,51,"3 waypoints (ronald, kariobangi, ngala); Terminal 'otc'","ronald ngala, kariobangi, dandora"
NTSA/RSN-0102,Ecosa,ADR-9AKFJD8,14,14 (MEDIUM:51); 46B (MEDIUM:51); 46H (MEDIUM:51),MEDIUM,51,"3 waypoints (ronald, juja, ngala); Terminal 'otc'","dandora, juja road, ronald ngala"
NTSA/RSN-0102,Ecosa,ADR-DB3TY6K,14,14 (MEDIUM:51); 46B (MEDIUM:51); 46H (LOW:39),MEDIUM,51,"3 waypoints (ronald, kariobangi, juja); Terminal 'otc'","ronald ngara, dandora,juja road, kariobangi"
NTSA/RSN-0102,Ecosa,ADR-3ZQSJWM,36,36 (MEDIUM:48); 10 (LOW:36); 58 (LOW:36),MEDIUM,48,"5 waypoints (buru, jogoo, dandora)","city stadium, jogoo road,buru buru, dandora"
NTSA/RSN-0102,Ecosa,ADR-JY7SZPV,41,41 (LOW:39),LOW,39,"2 waypoints (gikomba, dandora); Terminal 'gikomba'","dandora, gikomba, juja road"
NTSA/RSN-0102,Ecosa,ADR-POKSYJ3,41,41 (LOW:39),LOW,39,"2 waypoints (gikomba, dandora); Terminal 'gikomba'","dandora, juja road, gikomba"
NTSA/RSN-0102,Ecosa,ADR-VYASW7J,36,36 (MEDIUM:48); 58 (LOW:36); 23KS (LOW:36),MEDIUM,48,"4 waypoints (buruburu, dandora, stadium)","dandora, buruburu, city stadium"
NTSA/RSN-0102,Ecosa,ADR-Q5LC8JR,46B,46B (MEDIUM:51); 14 (LOW:39); 46H (LOW:39),MEDIUM,51,"3 waypoints (ronald, ngara, juja); Terminal 'otc'","ronald ngara, dandora, juja road"
NTSA/RSN-0102,Ecosa,ADR-EPJSEZM,7,7 (LOW:39); 41 (LOW:39); 3N (LOW:39),LOW,39,"2 waypoints (gikomba, kariokor); Terminal 'gikomba'","dandora, juja road,kariokor, gikomba"
NTSA/RSN-0113,Eleventh Hour Transport,NTR-00138,126,126 (MEDIUM:63); 125 (MEDIUM:51); 111 (LOW:39),MEDIUM,63,"4 waypoints (kiserian, mbagathi, railways); Terminal 'railways'","kiserian, magadi road,langata road,mbagathi road,knh, railways"
NTSA/RSN-0113,Eleventh Hour Transport,ADR-O68IO56,126,126 (MEDIUM:63); 125 (MEDIUM:51); 111 (LOW:39),MEDIUM,63,"4 waypoints (rongai, mbagathi, railways); Terminal 'railways'","railways, knh,mbagathi way,rongai, kiserian"
NTSA/RSN-0113,Eleventh Hour Transport,ADR-6DBSBMV,126,126 (MEDIUM:63); 125 (MEDIUM:51); 111 (LOW:39),MEDIUM,63,"4 waypoints (kiserian, mbagathi, railways); Terminal 'railways'","kiserian, railways,magadi road,langata road,mbagathi road, knh"
NTSA/RSN-0113,Eleventh Hour Transport,ADR-WZ9SQJ5,126,126 (MEDIUM:63); 125 (MEDIUM:51); 111 (LOW:39),MEDIUM,63,"4 waypoints (rongai, mbagathi, kiserian); Terminal 'railways'","railways, kiserian,knh,mbagathi way, rongai"
NTSA/RSN-0113,Eleventh Hour Transport,ADR-537H7AK,125,125 (MEDIUM:63); 126 (MEDIUM:63); 111 (LOW:39),MEDIUM,63,"4 waypoints (rongai, ongata, mbagathi); Terminal 'railways'","railways, mbagathi way,ongata rongai, kiserian"
NTSA/RSN-0151,Emaar City BUS,NTR-00138,126,126 (MEDIUM:63); 125 (MEDIUM:51); 111 (LOW:39),MEDIUM,63,"4 waypoints (kiserian, mbagathi, railways); Terminal 'railways'","kiserian, magadi road,langata road,mbagathi road,knh, railways"
NTSA/RSN-0151,Emaar City BUS,NTR-00202001241343230,,,UNMATCHED,0,Insufficient keyword overlap,"Ruai, KayoleDonholmUmojaBuruburuCbdKnhNgong rdKikuyu, Westlands"
NTSA/RSN-0151,Emaar City BUS,NTR-00202001241345310,,,UNMATCHED,0,Insufficient keyword overlap,"Machakos, KitengelaSyokimauImara daimaKnhNgong rdKikuyuWestlands, Cbd"
NTSA/RSN-0151,Emaar City BUS,NTR-00202002271026150,,,UNMATCHED,0,Insufficient keyword overlap,"Ngong, KiserianRongaiLangataMbagathi wayKnhCbdWestlandsKikuyuRuaka, Limuru"
NTSA/RSN-0151,Emaar City BUS,NTR-00202001201200040,,,UNMATCHED,0,Insufficient keyword overlap,"Thika, Kiambu KasaraniKnh Ngong rd Kikuyu, Westlands"
NTSA/RSN-0151,Emaar City BUS,NTR-0081,125,125 (LOW:36); 126 (LOW:36),LOW,36,"3 waypoints (rongai, mbagathi, langata)","rongai, langata,mbagathi way,community, bustation"
NTSA/RSN-0151,Emaar City BUS,NTR-0076,34L,34L (LOW:39); 125 (LOW:36); 126 (LOW:36),LOW,39,"2 waypoints (mbagathi, langata); Terminal 'knh'","bustation, knh,mbagathi way,langata, rongai"
NTSA/RSN-0151,Emaar City BUS,ADR-YM3SEZA,,,UNMATCHED,0,Insufficient keyword overlap,"Thika, KiambuKasaraniCbdKnhNgong rdKikuyu, Westlands"
NTSA/RSN-0151,Emaar City BUS,ADR-8LMSVAP,126,126 (MEDIUM:63); 125 (MEDIUM:51); 111 (LOW:39),MEDIUM,63,"4 waypoints (rongai, mbagathi, railways); Terminal 'railways'","railways, knh,mbagathi way,rongai, kiserian"
NTSA/RSN-0151,Emaar City BUS,ADR-ZZJS2P6,34L,34L (LOW:39); 125 (LOW:36); 126 (LOW:36),LOW,39,"2 waypoints (mbagathi, langata); Terminal 'knh'","bustation, rongai,knh,mbagathi way, langata"
NTSA/RSN-0151,Emaar City BUS,ADR-LZRS3B9,125,125 (MEDIUM:63); 126 (MEDIUM:63); 111 (LOW:39),MEDIUM,63,"4 waypoints (rongai, ongata, mbagathi); Terminal 'railways'","railways, mbagathi way,ongata rongai, kiserian"
NTSA/RSN-0115,Embassava,NTR-00201909271127470,,,UNMATCHED,0,Insufficient keyword overlap,"KITENGELA, MLOLONGOEMBAKASIJOGOO RDMOMBASA ROADOUTERING ROADSAVANNAH ROUTEALSOPS, ACCRA RD"
NTSA/RSN-0115,Embassava,NTR-00202101270939490,28,28 (LOW:39); 48B (LOW:36); 48C (LOW:36),LOW,39,"2 waypoints (gikomba, eastleigh); Terminal 'gikomba'","Malaa, Kangundo rd Eastern bypass Utawala Tajmall Enterprise rd Likoni rd Gikomba Eastleigh Juja rd, Thika rd"
NTSA/RSN-0115,Embassava,NTR-00465,33FED,33FED (LOW:39),LOW,39,"2 waypoints (embakasi, jogoo); Terminal 'commercial'","embakasi, jogoo road, msa road, outereing road,all sops, accra road"
NTSA/RSN-0115,Embassava,NTR-00259,10,10 (LOW:39); 33DP (LOW:39),LOW,39,"2 waypoints (muthurwa, jogoo); Terminal 'muthurwa'","embakasi, jogoo road, muthurwa"
NTSA/RSN-0115,Embassava,NTR-0039,10,10 (LOW:39); 33DP (LOW:39),LOW,39,"2 waypoints (muthurwa, jogoo); Terminal 'muthurwa'","muthurwa, jogoo road, embakasi"
NTSA/RSN-0115,Embassava,ADR-BQ9S52M,,,UNMATCHED,0,Insufficient keyword overlap,"Accra, Mombasa rdJogoo rdEmbakasiMlolongo, Kitengela"
NTSA/RSN-0115,Embassava,ADR-REOSRQ8,110,110 (LOW:36),LOW,36,"3 waypoints (mombasa, mlolongo, kitengela)","Kitengela, Mlolongo Mombasa rd Embakasi Savannah Utawala Kangundo rd MalaaJogoo rd Likoni rd Enterprise rd Eastleigh Outering rd Alsops Thika rd, Accra rd"
NTSA/RSN-0115,Embassava,ADR-MDMSQZJ,28,28 (LOW:39); 110 (LOW:36); 48B (LOW:36),LOW,39,"2 waypoints (gikomba, eastleigh); Terminal 'gikomba'","Kitengela, Mlolongo Mombasa rd Embakasi tajmall Savannah Utawala Eastern bypass Kangundo rd MalaaJogoo rd Likoni rd Enterprise rd Gikomba Eastleigh Juja rd Outering rd Alsops Thika rd, Accra rd"
NTSA/RSN-0115,Embassava,ADR-YM3S68E,28,28 (LOW:39); 48B (LOW:36); 48C (LOW:36),LOW,39,"2 waypoints (gikomba, eastleigh); Terminal 'gikomba'","Machakos, Tala Kangundo Kitengela Mombasa rd Embakasi tajmall Savannah Utawala Eastern bypass Kangundo rd MalaaJogoo rd Likoni rd Enterprise rd Gikomba Eastleigh Juja rd Outering rd Alsops Thika rd, Accra rd"
NTSA/RSN-0115,Embassava,ADR-8LMSEMO,28,28 (LOW:39); 110 (LOW:36); 48B (LOW:36),LOW,39,"2 waypoints (gikomba, eastleigh); Terminal 'gikomba'","Machakos, Tala Kangundo Kitengela Mlolongo Mombasa rd Embakasi tajmall Savannah Utawala Eastern bypass Kangundo rd MalaaJogoo rd Likoni rd Enterprise rd Gikomba Eastleigh Juja rd Outering rd Alsops Thika rd, Accra rd"
