via_point,mentions,sacco_count,num_corridors,corridors_touched,sample_saccos,example_via_raw,example_permit,VERDICT
rwaka,3,3,2,kiambu_road thika_road,RUNKA SERVICES COOPERATIVE SAVINGS AND CREDIT SOCIETY LTD | LOPHA MULTIPURPOSE CO-OPERATIVE SOCIETY | TRANSNOMICS COMPANY LIMITED,"odeon, pangani, highridge, karura, rwaka, ndenderu",LOPHA MULTIPURPOSE CO-OPERATIVE SOCIETY / ADR-3ZQSJ2A,
museum hill,2,1,2,kiambu_road thika_road,DIGITAL LUXURY TRAVELLERS LIMITED,"ngara, museum hill,kangemi,uthiru,kawangware, knh",DIGITAL LUXURY TRAVELLERS LIMITED / ADR-6DBSZO5,
hakati,2,2,2,kiambu_road thika_road,EASTERN BYPASS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED | SINGLE LINE SERVICES LIMITED,"malaa, joska, ruai, saika, mowlem, kariobangi round about, juja road, kariokor, hakati",EASTERN BYPASS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED / ADR-YM3S66R,
joskasaga,2,2,2,kiambu_road thika_road,QUE SERVICES SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD | eastern bypass traverlers investment co. limited,"huruma, joskasaga, kariokor, ronald ngala",eastern bypass traverlers investment co. limited / ADR-7WRSOOD,
tatu city,2,2,2,kiambu_road thika_road,KARURI COMMUTERS SERVICES SAVINGS AND CREDIT CO-OPERTAIVE SOCIETY LIMITED | TIKAGI SAVINGS AND CREDIT COOPERATIVE SOCIETY LIMITED,"khoja, limuru,banana,kiambu,tatu city, ruiru",KARURI COMMUTERS SERVICES SAVINGS AND CREDIT CO-OPERTAIVE SOCIETY LIMITED / NTR-00201812181042570,
ngorongo,2,1,2,kiambu_road thika_road,LIKAMBU MATATU SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,"limuru, ngorongo,ndumberi, kiambu",LIKAMBU MATATU SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED / NTR-001333,
via tatu city,2,1,2,kiambu_road thika_road,LIKAMBU MATATU SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,"kikuyu, limuru,tigoni,kanunga,kiambu,ruiru,via tatu city, makongenithika",LIKAMBU MATATU SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED / NTR-00201905151245410,
parklands,2,2,2,kiambu_road thika_road,LOPHA MULTIPURPOSE CO-OPERATIVE SOCIETY | MANMO SACCO,"odeon, pangani,parklands,highridge,abc drive,ndenderu,gacharage,ruaka,kiambu,ruiru, thika (makongeni)",LOPHA MULTIPURPOSE CO-OPERATIVE SOCIETY / NTR-00201908021449470,
abc drive,2,1,2,kiambu_road thika_road,LOPHA MULTIPURPOSE CO-OPERATIVE SOCIETY,"odeon, pangani,parklands,highridge,abc drive,ndenderu,gacharage,ruaka,kiambu,ruiru, thika (makongeni)",LOPHA MULTIPURPOSE CO-OPERATIVE SOCIETY / NTR-00201908021449470,
gacharage,2,1,2,kiambu_road thika_road,LOPHA MULTIPURPOSE CO-OPERATIVE SOCIETY,"odeon, pangani,parklands,highridge,abc drive,ndenderu,gacharage,ruaka,kiambu,ruiru, thika (makongeni)",LOPHA MULTIPURPOSE CO-OPERATIVE SOCIETY / NTR-00201908021449470,
aga khan,2,1,2,kiambu_road thika_road,LOPHA MULTIPURPOSE CO-OPERATIVE SOCIETY,"odeon, aga khan, pangani, ndenderu, wangige",LOPHA MULTIPURPOSE CO-OPERATIVE SOCIETY / ADR-9AKFJRA,
1st avenue,2,1,2,kiambu_road thika_road,MADIWA MATATU OWNERS SACCO,"Mfangano, Kariokor,General Waruinge,Garage,1st Avenue, Eastleigh Section3",MADIWA MATATU OWNERS SACCO / NTR-00446,
railways,209,46,1,thika_road,SAFELINE MATATU SOCCO SOCIETY LIMITED | STARBUS COMPANY (K) LTD | PALS MATATU SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,"Railways, Waiyaki way Uthiru kawangware Kikuyu gikambura kamangu mutarakwa limuru northern bypass thika Rd thika, Thika(makongeni)",2B TRAVELLERS SACCO LTD / NTR-001144,
jogoo road,126,35,1,thika_road,BURUBURU 58 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED | COMPLIANT MOA | METROTRANS EAST AFRICA LIMITED,"Bus station, Muthurwa, Jogoo road, Kayole, Eastern bypass, Utawala, City cabanas",61 BUS LIMITED / ADR-K9BFZR3,
yaya,78,19,1,thika_road,STARBUS COMPANY (K) LTD | PALS MATATU SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED | COMPLIANT MOA,"kikuyu, kawangware,ngong road,yaya,icea,ambassadeur,bus station,jogoo road,kangundo road,utawala,ruai,joska, malaa",city star shuttle limited / NTR-0020181211134054530,
karen,72,18,1,thika_road,NANGKIS MATATU SACCO | NABOKA TRAVELLERS SACCO | LOTHIAN TRANSPORTERS,"bus station, kencom,gpo,knh,adams arcade,karen,ngong,matasia,kiseriani,rongai,bomas,langata road, kiserian",city star shuttle limited / NTR-0020181211134410497,
kitengela,66,20,1,thika_road,NKIKAN SACCO SOCIETY LIMITED | NAKAM SACCO SOCIETY LIMITED | REMBO SHUTTLE SAVINGS AND CREDIT SACCO LTD,"kikuyu, kawangware, ngong road, yaya, knh , ambassadour, bus station, jogoo road, jkia, utawala, mombasa road, athi river, kitengela, kajiado",city star shuttle limited / ADR-Q5LCBRQ,
ngong,65,23,1,thika_road,WAKIMALI TRAVELLERS CO. LIMITED | ST. MARYS TRANSPORT SACCO SOCIETY | COMPLIANT MOA,"bus station, kencom,gpo,knh,adams arcade,karen,ngong,matasia,kiseriani,rongai,bomas,langata road, kiserian",city star shuttle limited / NTR-0020181211134410497,
kahawa west,48,8,1,thika_road,RUKAGINA 44 SACCO | NAKATHI TRAVELLERS SACCO LIMITED | GIKAKURU TRAVELLERS SACCO,"tom mboya, zimmerman,githurai,kahawa west,ruiru,juja,thika road, makongenithika",FOURTY FOUR OWNERS COMPANY LIMITED / NTR-00201901151029270,
kibera,45,7,1,thika_road,KIBERA BURETI SACCO | KIRAGI TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED | KIBERA MATATU OWNERS COOPERATIVE SAVINGS AND CREDIT SOCIETY LIMITED,"jkia, mombasa road, bus station, gpo, knh, ngumo, kibera, yaya, kawangware, satelite, jamuhuri, karen, hardy",EXPRESS CONNECTIONS LTD / NTR-00178,
rongai,43,17,1,thika_road,NANGKIS MATATU SACCO | EMAAR CITY BUS LIMITED | LOTHIAN TRANSPORTERS,"bus station, kencom,gpo,knh,adams arcade,karen,ngong,matasia,kiseriani,rongai,bomas,langata road, kiserian",city star shuttle limited / NTR-0020181211134410497,
umoja,36,9,1,thika_road,UMOINNER SACCO LTD | city star shuttle limited | prime  transcity limited,"kikuyu, kawangware,ngong rd,yaya,icea,ambassadour,bus station,umoja,jkia, joska",city star shuttle limited / NTR-00596,
mbagathi way,36,14,1,thika_road,LUCKY TRANSPORTERS COMPANY | EMAAR CITY BUS LIMITED | ST. MARYS TRANSPORT SACCO SOCIETY,"railways, knh,mbagathi way,rongai, kiserian",ELEVENTH HOUR TRANSPORT SACCO / ADR-O68IO56,
jkia,33,3,1,thika_road,city star shuttle limited | KENYA BUS SERVICE MANAGEMENT LIMITED | EXPRESS CONNECTIONS LTD,"kikuyu, kawangware,yaya,arkwings kodhek,yaya,ambassadour,jkia,utawala, joska",city star shuttle limited / NTR-00592,
langata road,30,16,1,thika_road,EMAAR CITY BUS LIMITED | LOTHIAN TRANSPORTERS | LUMINOUS SHUTTLES LIMITED,"bus station, kencom,gpo,knh,adams arcade,karen,ngong,matasia,kiseriani,rongai,bomas,langata road, kiserian",city star shuttle limited / NTR-0020181211134410497,
athi river,30,12,1,thika_road,LUCKY TRANSPORTERS COMPANY | KARURI COMMUTERS SERVICES SAVINGS AND CREDIT CO-OPERTAIVE SOCIETY LIMITED | seven city shuttle limited,"kikuyu, kawangware, ngong road, yaya, knh , ambassadour, bus station, jogoo road, jkia, utawala, mombasa road, athi river, kitengela, kajiado",city star shuttle limited / ADR-Q5LCBRQ,
mwingi,29,7,1,thika_road,KSMT SACCO LTD | GITHURAI 45 SACCO | VIRGINIA COACH ENTERPRISE LIMITED,"nairobi, matuu, kitui, mwingi",BENJO( K) LTD / ADR-537HOWE,
kangundo road,28,7,1,thika_road,UMOINNER SACCO LTD | OBAMANA TRAVELLERS SACCO | city star shuttle limited,"kikuyu, kawangware,ngong road,yaya,icea,ambassadeur,bus station,jogoo road,kangundo road,utawala,ruai,joska, malaa",city star shuttle limited / NTR-0020181211134054530,
mombasa road,28,12,1,thika_road,tawala shuttle limited | STAHITO  COMMUTER  SERVICES CO. LIMITED | ROYAL SWIFT EXPRESS LIMITED,"kikuyu, kawangware, ngong road, yaya, knh , ambassadour, bus station, jogoo road, jkia, utawala, mombasa road, athi river, kitengela, kajiado",city star shuttle limited / ADR-Q5LCBRQ,
ongata rongai,28,13,1,thika_road,SALTY INVESTMENTS LIMITED | NABOKA TRAVELLERS SACCO | EMAAR CITY BUS LIMITED,"railways, mbagathi way,ongata rongai, kiserian",ELEVENTH HOUR TRANSPORT SACCO / ADR-537H7AK,
kitui,27,10,1,kiambu_road,eastern bypass traverlers investment co. limited | Inagi Travellers Sacco | BENJO( K) LTD,"Embu, Kitui, Mwingi and Back",BENJO( K) LTD / NTR-00833,
ngumo,26,5,1,thika_road,TELAVIV TRAVELLERS LIMITED | NGUMO-LINE SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED | EXPRESS CONNECTIONS LTD,"machakos, syokimau,imara daima,south b,south c,ngumo,likoni rd,industrial area,eastleigh,gikomba,busstation,jogoo rd,outering rd,donholm, fedha",ARBAB VENTURES LIMITED / ADR-VYAS9K2,
isinya,25,12,1,thika_road,EASTERN KUBAMBA LIMITED | LUMINOUS SHUTTLES LIMITED | city star shuttle limited,"South B, Langata Ongata Rongai Kiserian Ngong Karen Kawangware Yaya KNH Ambassador Kencom Bus station Jogoo rd Buruburu Umoja Kangundo rd Ruai Malaa Kantafu Utawala Jkia Mombasa rd SGR Syokimau Athi river Kitengela, Isinya",city star shuttle limited / NTR-00202101251020460,
ambassador,25,13,1,thika_road,NANGKIS MATATU SACCO | tawala shuttle limited | STARBUS COMPANY (K) LTD,"kitengela, athi river,jkia,mombasa road, ambassador, kencom,juja,outering road, jkia, kitengela",city star shuttle limited / ADR-2DVS2WZ,
kinoo,24,9,1,thika_road,STARBUS COMPANY (K) LTD | 2KR ROUTE 105 MULTIPURPOSE COOPERATIVE SOCIETY LIMITED | NAKILI SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,"odeon, westlands,kinoo, kikuyu",2KR ROUTE 105 MULTIPURPOSE COOPERATIVE SOCIETY LIMITED / NTR-00341,
south b,24,6,1,thika_road,DOMANN ENTERPRISES | city star shuttle limited | SOUTH B MATATU OWNERS SACCO SOCIETY LTD,"machakos, syokimau,imara daima,south b,south c,ngumo,likoni rd,industrial area,eastleigh,gikomba,busstation,jogoo rd,outering rd,donholm, fedha",ARBAB VENTURES LIMITED / ADR-VYAS9K2,
banana,24,6,1,thika_road,LUCKY TRANSPORTERS COMPANY | KARURI COMMUTERS SERVICES SAVINGS AND CREDIT CO-OPERTAIVE SOCIETY LIMITED | BAKAKI 101 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,"kiambu, banana, limuru",BAKAKI 101 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED / ADR-K9BF6JM,
outering road,22,13,1,thika_road,FIVE FRIENDS INVESTMENT COMPANY LIMITED | kayo-line group company limited | NEEMA TRAVELLERS AGENCY LIMITED,"kitengela, athi river,jkia,mombasa road, ambassador, kencom,juja,outering road, jkia, kitengela",city star shuttle limited / ADR-2DVS2WZ,
ngong road,21,11,1,thika_road,KIBERA BURETI SACCO | STARBUS COMPANY (K) LTD | 2KW SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,"suswa, kimuka ngong dagoretti corner kawangware uthiru Kikuyu kamangu thigio ngecha wangige kahawa west KU hospital ruiru limuru, nakuru, ADR-JY7SZE7- bus station, ngong road, kawagware, uthiru, wangige",2KW SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD / ADR-3ZQSJOA,
langata,21,9,1,thika_road,LUCKY TRANSPORTERS COMPANY | EMAAR CITY BUS LIMITED | KIBERA MATATU OWNERS COOPERATIVE SAVINGS AND CREDIT SOCIETY LIMITED,"Machakos, SyokimauImara daimaSouth bSouth cNgumoLikoni rdIndustrial areaEastleighGikombaBusstationJogoo rdOutering rdDonholm Fedha juja rd thika rd kangundo rdutawala westlands parklands KNH nairobi west, langata",ARBAB VENTURES LIMITED / ADR-POKSRLV,
industrial area,20,5,1,thika_road,STAHITO  COMMUTER  SERVICES CO. LIMITED | TELAVIV TRAVELLERS LIMITED | INDIMA (NJE) SACCO,"machakos, syokimau,imara daima,south b,south c,ngumo,likoni rd,industrial area,eastleigh,gikomba,busstation,jogoo rd,outering rd,donholm, fedha",ARBAB VENTURES LIMITED / ADR-VYAS9K2,
kencom,18,5,1,thika_road,city star shuttle limited | ST. MARYS TRANSPORT SACCO SOCIETY | EXPRESS CONNECTIONS LTD,"bus station, kencom,gpo,knh,adams arcade,karen,ngong,matasia,kiseriani,rongai,bomas,langata road, kiserian",city star shuttle limited / NTR-0020181211134410497,
ambassadour,18,4,1,thika_road,city star shuttle limited | NGONG TRAVELLERS SACCO | LUMINOUS SHUTTLES LIMITED,"kikuyu, kawangware,yaya,arkwings kodhek,yaya,ambassadour,jkia,utawala, joska",city star shuttle limited / NTR-00592,
zimmerman,18,7,1,thika_road,RUKAGINA 44 SACCO | NAKATHI TRAVELLERS SACCO LIMITED | FOURTY FOUR OWNERS COMPANY LIMITED,"tom mboya, zimmerman,githurai,kahawa west,ruiru,juja,thika road, makongenithika",FOURTY FOUR OWNERS COMPANY LIMITED / NTR-00201901151029270,
city stadium,17,5,1,thika_road,ECOSA TRAVELLERS SACCO | EASTLANDS EAGLES LIMITED | GEOBEAT MAOKA TRAVELLERS LIMITED,"dandora, buru buru, city stadium",DABUMATO COMMUTER SERVICE SAVINGS & CREDIT CO-OPERATIVE SOCIETY LTD / NTR-0040,
wote,17,7,1,thika_road,eastern bypass traverlers investment co. limited | SMOKE CITY SACCO LIMITED | SOWETAMU TRAVELLERS SACCO,"nairobi, machakos, wote, makindu, kitui, mutomo, kibwezi, mtito andei, ikutha, voi, mombasa",eastern bypass traverlers investment co. limited / ADR-A5ACPPM,
hardy,17,4,1,thika_road,LUMINOUS SHUTTLES LIMITED | LANKANA SACCO SOCIETY LIMITED | KENYA BUS SERVICE MANAGEMENT LIMITED,"jkia, mombasa road, bus station, gpo, knh, ngumo, kibera, yaya, kawangware, satelite, jamuhuri, karen, hardy",EXPRESS CONNECTIONS LTD / NTR-00178,
st peters,17,4,1,kiambu_road,NAKWE TRAVELLERS SACCO SOCIETY LTD | KIAMBU MARAFIKI SACCO LTD | GITHIGA TRAVELLERS SACCO,"St peters, GithunguriLimuru, Nakuru",GITHIGA TRAVELLERS SACCO / ADR-A5ACLDJ,
dagoretti,16,8,1,thika_road,SAFELINE MATATU SOCCO SOCIETY LIMITED | NAKILI SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD | PAKIN ALICIA SACCO SOCIETY LTD,"railways, dagoretti,kawangware, kikuyu",2B TRAVELLERS SACCO LTD / ADR-ZZJS27K,
city cabanas,16,8,1,thika_road,KSMT SACCO LTD | 2KR ROUTE 105 MULTIPURPOSE COOPERATIVE SOCIETY LIMITED | SMOKE CITY SACCO LIMITED,"odeon, westlands, kinoo, kikuyu, thogoto, kanyariri, mutarakwa, city cabanas",2KR ROUTE 105 MULTIPURPOSE COOPERATIVE SOCIETY LIMITED / ADR-6DBSD6W,
bomas,16,10,1,thika_road,NABOKA TRAVELLERS SACCO | LOTHIAN TRANSPORTERS | LUMINOUS SHUTTLES LIMITED,"bus station, kencom,gpo,knh,adams arcade,karen,ngong,matasia,kiseriani,rongai,bomas,langata road, kiserian",city star shuttle limited / NTR-0020181211134410497,
embakasi,16,5,1,thika_road,DOMANN ENTERPRISES | MAVEROUS SHUTTLE LIMITED | ROYAL SWIFT EXPRESS LIMITED,"Embakasi, Mombasa rd,South b,South c,Langata rd,Westlands,,Wangari maathai rd,Thika rd,Outering rd, Embakasi",DOMANN ENTERPRISES / NTR-00201909271238580,
south c,15,3,1,thika_road,DOMANN ENTERPRISES | TELAVIV TRAVELLERS LIMITED | ARBAB VENTURES LIMITED,"South c, iindustrial arealikoni rdjogoo rdeastleighoutering rd mombasa rd, machakos",ARBAB VENTURES LIMITED / NTR-00201905131607200,
buru buru,15,6,1,thika_road,UMOINNER SACCO LTD | ECOSA TRAVELLERS SACCO | EASTLANDS EAGLES LIMITED,"dandora, buru buru, city stadium",DABUMATO COMMUTER SERVICE SAVINGS & CREDIT CO-OPERATIVE SOCIETY LTD / NTR-0040,
mbagathi road,15,10,1,thika_road,EMAAR CITY BUS LIMITED | ST. MARYS TRANSPORT SACCO SOCIETY | SNOWBALL SACCO SOCIETY LTD,"kiserian, magadi road,langata road,mbagathi road,knh, railways",ELEVENTH HOUR TRANSPORT SACCO / NTR-00138,
kajiado,14,9,1,thika_road,EASTERN KUBAMBA LIMITED | eastern bypass traverlers investment co. limited | city star shuttle limited,"kikuyu, kawangware, ngong road, yaya, knh , ambassadour, bus station, jogoo road, jkia, utawala, mombasa road, athi river, kitengela, kajiado",city star shuttle limited / ADR-Q5LCBRQ,
likoni road,14,8,1,thika_road,STAHITO  COMMUTER  SERVICES CO. LIMITED | INDIMA (NJE) SACCO | UTAWALA BY-PASS TRAVELLERS SACCO,"bus station, mombasa road, bunyala road, likoni road, balozi, diamond park",COUNTY LINK SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD / ADR-Q5LC67A,
donholm,13,7,1,thika_road,MAVEROUS SHUTTLE LIMITED | BABA DOGO 25 TRAVELLERS SACCO | TELAVIV TRAVELLERS LIMITED,"machakos, syokimau,imara daima,south b,south c,ngumo,likoni rd,industrial area,eastleigh,gikomba,busstation,jogoo rd,outering rd,donholm, fedha",ARBAB VENTURES LIMITED / ADR-VYAS9K2,
matuu,13,5,1,thika_road,NEEMA TRAVELLERS AGENCY LIMITED | BENJO( K) LTD | CHANIA TRAVELLERS SACCO,"nairobi, matuu, kitui, mwingi",BENJO( K) LTD / ADR-537HOWE,
nyahururu,13,7,1,thika_road,KANDARA SOUTH TRAVELLERS SACCO (K.S.T) | CHANIA TRAVELLERS SACCO | KAKA TRAVELLERS SACCO LIMITED,"nairobi, thika,nyeri,nyahururu, nakuru",CHANIA TRAVELLERS SACCO / NTR-00236,
accra rd,12,3,1,thika_road,ROYAL SWIFT EXPRESS LIMITED | ongata rongai bus services | EMBASSAVA COOPERATIVE SAVINGS AND CREDIT SOCIETY LTD,"KITENGELA, MLOLONGOEMBAKASIJOGOO RDMOMBASA ROADOUTERING ROADSAVANNAH ROUTEALSOPS, ACCRA RD",EMBASSAVA COOPERATIVE SAVINGS AND CREDIT SOCIETY LTD / NTR-00201909271127470,
civil servant,11,3,1,thika_road,MWAMBA TRAVELLERS SACCO | CBET SACCO | COMPLIANT MOA,"gillhouse, muthurwa,jogoo road,buruburu,civil servant,Outering rd,Komarock Bus Park,Mombasa rd,Athiriver,Machakos,Kyumbi,Malili,Murarandi,Githiga, Kiria-ini",CBET SACCO / ADR-A5AC86D,
accra road,11,3,1,thika_road,RWAKEN INVESTMENTS LIMITED | ROYAL SWIFT EXPRESS LIMITED | EMBASSAVA COOPERATIVE SAVINGS AND CREDIT SOCIETY LTD,"embakasi, jogoo road, msa road, outereing road,all sops, accra road",EMBASSAVA COOPERATIVE SAVINGS AND CREDIT SOCIETY LTD / NTR-00465,
lusaka road,11,4,1,thika_road,INDIMA (NJE) SACCO | STAHITO  COMMUTER  SERVICES CO. LIMITED | KENYA BUS SERVICE MANAGEMENT LIMITED,"bus station, lusaka road,enterprise road,industrial area,general motors, mukuru kwa njenga",INDIMA (NJE) SACCO / NTR-00563,
otiende,11,4,1,thika_road,LUCKY TRANSPORTERS COMPANY | ST. MARYS TRANSPORT SACCO SOCIETY | LOTHIAN TRANSPORTERS,"Bus station, KNH, Mbagathi way, Langata, Otiende",LOTHIAN TRANSPORTERS / NTR-00159,
langata rd,10,6,1,thika_road,DOMANN ENTERPRISES | tawala shuttle limited | LUMINOUS SHUTTLES LIMITED,"Embakasi, Mombasa rd,South b,South c,Langata rd,Westlands,,Wangari maathai rd,Thika rd,Outering rd, Embakasi",DOMANN ENTERPRISES / NTR-00201909271238580,
kimende,10,5,1,thika_road,RUKINE TRAVELLERS SAVINGS AND CREDIT CO-OPERATVE SOCIETY LIMITED | GINYALI COOPERATIVE SAVINGS & CREDIT SOCIETY LTD | NAKINDUKA MATATU SAVINGS AND CREDIT COOPERATIVE SOCIETY LIMITED,"Kimende, Limuru Muguga Kikuyu Nduma Ndeiya Dagoretti Market Kawangware KNH Karen Bomas Ongata Rongai, Kiserian",EXPRESO LIMITED / NTR-00202012311422330,
komarock,10,3,1,thika_road,MWAMBA TRAVELLERS SACCO | MAVEROUS SHUTTLE LIMITED | EXPRESS CONNECTIONS LTD,"komarock, buru buru, gogoo road, bustation, kencom, knh, kawangware, jamhuri",EXPRESS CONNECTIONS LTD / ADR-DB3T3P6,
enterprise road,10,3,1,thika_road,INDIMA (NJE) SACCO | STAHITO  COMMUTER  SERVICES CO. LIMITED | OUTREACH TRAVEL,"bus station, lusaka road,enterprise road,industrial area,general motors, mukuru kwa njenga",INDIMA (NJE) SACCO / NTR-00563,
ngong rd,9,8,1,thika_road,GARAMU TRAVEL SOLUTIONS LIMITED | tawala shuttle limited | NABOKA TRAVELLERS SACCO,"kikuyu, kawangware,ngong rd,yaya,icea,ambassadour,bus station,umoja,jkia, joska",city star shuttle limited / NTR-00596,
kantafu market,9,3,1,thika_road,city star shuttle limited | CITY TRAM SHUTTLE LIMITED | OBAMANA TRAVELLERS SACCO,"bus station, tom mboya, juja road, jogoo road, buruburu, outering road, umoja, kangundo road, kantafu market",city star shuttle limited / ADR-YM3S6M9,
kileleshwa,9,4,1,thika_road,NAZIGI SACCO LIMITED | COMPLIANT MOA | KILLETON COMMUTERS SERVICES SAVINGS AND CREDIT COOPERATIVE LTD,"ngong, karen, yaya, kileleshwa, westlands, ambassador",COMPLIANT MOA / ADR-REOSY8J,
hazina,9,4,1,thika_road,SOUTH B MATATU OWNERS SACCO SOCIETY LTD | TELAVIV TRAVELLERS LIMITED | SINGLE LINE SERVICES LIMITED,"bus station, mombasa road, hazina, citycabanas, syokimau, katani, mlolongo",COUNTY LINK SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD / ADR-VYASL5Q,
dagoretti market,9,6,1,thika_road,GARAMU TRAVEL SOLUTIONS LIMITED | DAKABO SACCO LIMITED | KANGEMI MATATU OWNERS SACCO,"dagoretti market, karen, bomas",DAKABO SACCO LIMITED / ADR-2DVS88Q,
emali,9,4,1,thika_road,FORWARD TRAVELLERS SACCO LTD | KIMMA SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED | eastern bypass traverlers investment co. limited,"kangundo, ruai, easternbypass, mlolongo, emali, loitoktok, ellasit",eastern bypass traverlers investment co. limited / NTR-00376,
loitoktok,9,4,1,thika_road,FORWARD TRAVELLERS SACCO LTD | KIMMA SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED | eastern bypass traverlers investment co. limited,"kangundo, ruai, easternbypass, mlolongo, emali, loitoktok, ellasit",eastern bypass traverlers investment co. limited / NTR-00376,
mwihoko,9,6,1,thika_road,SUMMA TRANSPORTERS SACCO LIMITED | NAWASUKU SACCO | UNIFIED INTERNATIONAL LIMITED,"githurai, mumbi, mwihoko",GIKIMWI BYPASS TRANSPORTERS SACCO / NTR-001337,
lavington,9,4,1,thika_road,WELKAN TRAVELLERS SERVICES LIMITED | NAZIGI SACCO LIMITED | KILLETON COMMUTERS SERVICES SAVINGS AND CREDIT COOPERATIVE LTD,"kibera(dc), via prestige,yaya,kileleshwa,lavington,westlands,kangemi,kikuyu,odeon,via limuru rd,ndenderu, karura",KILLETON COMMUTERS SERVICES SAVINGS AND CREDIT COOPERATIVE LTD / NTR-00201910041157320,
timboroa lane,9,2,1,thika_road,LUCKY BABA DOGO TRAVELLERS LIMITED | NAWASUKU SACCO,"Timboroa lane, Thika road Baba Dogo Lucky Summer Outering rd Donholm Tajmall ruai, Kangundo rd",LUCKY BABA DOGO TRAVELLERS LIMITED / NTR-00569,
ambassadeur,8,4,1,thika_road,city star shuttle limited | tawala shuttle limited | KENYA BUS SERVICE MANAGEMENT LIMITED,"kikuyu, kawangware,ngong road,yaya,icea,ambassadeur,bus station,jogoo road,kangundo road,utawala,ruai,joska, malaa",city star shuttle limited / NTR-0020181211134054530,
mfangano street,8,4,1,thika_road,FORWARD TRAVELLERS SACCO LTD | JESMAT TRAVELLERS CO-OPRATIVE | MAVEROUS SHUTTLE LIMITED,"kayole, mfangano street, otc",FORWARD TRAVELLERS SACCO LTD / ADR-BQ9SQ33,
kahawa sukari,8,3,1,thika_road,GIKIMWI BYPASS TRANSPORTERS SACCO | NAWASUKU SACCO | LATEMA 22 TRAVELLERS SACCO,"githurai, mumbi,mwihoko,kahawa sukari,ruiru, makongenithika",GIKIMWI BYPASS TRANSPORTERS SACCO / NTR-00201905161413340,
general motors,8,3,1,thika_road,INDIMA (NJE) SACCO | STAHITO  COMMUTER  SERVICES CO. LIMITED | NGUMO-LINE SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,"bus station, lusaka road,enterprise road,industrial area,general motors, mukuru kwa njenga",INDIMA (NJE) SACCO / NTR-00563,
st marys,8,4,1,thika_road,ST. MARYS TRANSPORT SACCO SOCIETY | rasasi travellers limited | KIBERA BURETI SACCO,"railways, knh,yaya,kibera,westlands, st marys",KIBERA BURETI SACCO / NTR-00201901141201050,
thogoto,7,4,1,thika_road,KANGEMI MATATU OWNERS SACCO | METROTRANS EAST AFRICA LIMITED | NAKILI SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,"odeon, westlands, kinoo, kikuyu, thogoto, kanyariri, mutarakwa, city cabanas",2KR ROUTE 105 MULTIPURPOSE COOPERATIVE SOCIETY LIMITED / ADR-6DBSD6W,
dagoretti corner,7,5,1,thika_road,2KW SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD | WAKIMALI TRAVELLERS CO. LIMITED | mat two friends limited,"Dagoretti Corner, UthiruWangigeKahawa west KU Hospital Ruiru Limuru, Nakuru",2KW SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD / NTR-00201901101111320,
likoni rd,7,4,1,thika_road,TELAVIV TRAVELLERS LIMITED | ARBAB VENTURES LIMITED | STAHITO  COMMUTER  SERVICES CO. LIMITED,"machakos, syokimau,imara daima,south b,south c,ngumo,likoni rd,industrial area,eastleigh,gikomba,busstation,jogoo rd,outering rd,donholm, fedha",ARBAB VENTURES LIMITED / ADR-VYAS9K2,
icea,7,2,1,thika_road,city star shuttle limited | KENYA BUS SERVICE MANAGEMENT LIMITED,"kikuyu, kawangware,ngong road,yaya,icea,ambassadeur,bus station,jogoo road,kangundo road,utawala,ruai,joska, malaa",city star shuttle limited / NTR-0020181211134054530,
luthuli,7,4,1,thika_road,EASTLEIGH ROUTE SACCO | MADIWA MATATU OWNERS SACCO | COMPLIANT MOA,"luthuli, general waruinge,garage,eastleigh, kimathi",COMPLIANT MOA / NTR-00355,
